# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.tasksExecuted,1709317631278000000,1709317635104000000,42
AWTEventQueue.eventsDispatched,1709317631278000000,1709317635104000000,66
FlushQueue.queueSizeAvg,1709317631278000000,1709317635104000000,0.0
NonBlockingReadAction.failedExecutionsCount,1709317631278000000,1709317635104000000,0
FlushQueue.queueSizeMax,1709317631278000000,1709317635104000000,0
AWTEventQueue.dispatchTimeAvgNs,1709317631278000000,1709317635104000000,176728.24242424243
FlushQueue.waitingTimeAvgNs,1709317631278000000,1709317635104000000,112524.19047619047
AWTEventQueue.dispatchTime90PNs,1709317631278000000,1709317635104000000,675839
NonBlockingReadAction.failedExecutionTimeUs,1709317631278000000,1709317635104000000,0
FlushQueue.queueSize90P,1709317631278000000,1709317635104000000,0
Indexes.stubs.lookupDurationMaxMs,1709317631278000000,1709317635104000000,0.0
Indexes.stubs.lookups,1709317631278000000,1709317635104000000,0.0
Indexes.entries.lookupDurationAvgMs,1709317631278000000,1709317635104000000,0.0
Indexes.allKeys.lookups,1709317631278000000,1709317635104000000,0.0
Indexes.entries.lookupDurationMaxMs,1709317631278000000,1709317635104000000,0.0
Indexes.entries.lookups,1709317631278000000,1709317635104000000,0.0
Indexes.stubs.lookupDuration90PMs,1709317631278000000,1709317635104000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1709317631278000000,1709317635104000000,0.0
Indexes.allKeys.lookupDuration90PMs,1709317631278000000,1709317635104000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1709317631278000000,1709317635104000000,0.0
Indexes.entries.lookupDuration90PMs,1709317631278000000,1709317635104000000,0.0
Indexes.stubs.lookupDurationAvgMs,1709317631278000000,1709317635104000000,0.0
FileNameCache.queries,1709317631278000000,1709317635104000000,97
FileNameCache.totalMisses,1709317631278000000,1709317635104000000,0
FileNameCache.fastMisses,1709317631278000000,1709317635104000000,70
JVM.GC.collectionTimesMs,1709317631278000000,1709317635104000000,93
OS.loadAverage,1709317631278000000,1709317635104000000,3.28
JVM.maxNativeBytes,1709317631278000000,1709317635104000000,-1
JVM.usedHeapBytes,1709317631278000000,1709317635104000000,350748672
JVM.totalCpuTimeMs,1709317631278000000,1709317635104000000,520
JVM.usedNativeBytes,1709317631278000000,1709317635104000000,476718656
JVM.maxHeapBytes,1709317631278000000,1709317635104000000,2147483648
JVM.GC.collections,1709317631278000000,1709317635104000000,1
JVM.threadCount,1709317631278000000,1709317635104000000,57
workspaceModel.loading.from.cache.ms,1709317631278000000,1709317635104000000,784
workspaceModel.init.bridges.ms,1709317631278000000,1709317635104000000,120
workspaceModel.collect.changes.ms,1709317631278000000,1709317635104000000,0
workspaceModel.updates.ms,1709317631278000000,1709317635104000000,641
workspaceModel.pre.handlers.ms,1709317631278000000,1709317635104000000,9
